"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"4671413",4755596,"HM262535","03/30/2006 09:35:00 PM","012XX S ASHLAND AVE","1506","PROSTITUTION","SOLICIT ON PUBLIC WAY","STREET","true","false",1231,12,2,28,"16",1165915,1894678,2006,"02/28/2018 03:56:25 PM",41.866581458,-87.666380247,"(41.866581458, -87.666380247)"
"4230546",4018261,"HL295621","04/14/2005 09:35:29 PM","049XX W CORTEZ ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","SIDEWALK","true","false",1531,15,37,25,"18",1143336,1906533,2005,"02/28/2018 03:56:25 PM",41.899564478,-87.74897452,"(41.899564478, -87.74897452)"
"4228672",4014473,"HL367963","05/20/2005 03:03:00 PM","055XX S SANGAMON ST","0558","ASSAULT","AGG PRO.EMP: OTHER DANG WEAPON","SCHOOL, PUBLIC, GROUNDS","true","false",712,7,16,68,"04A",1170924,1867964,2005,"02/28/2018 03:56:25 PM",41.793167485,-87.648773258,"(41.793167485, -87.648773258)"
"2612272",1852043,"G692332","11/17/2001 01:00:00 AM","055XX W CORTLAND ST","0810","THEFT","OVER $500","STREET","false","false",2532,25,NA,NA,"06",1138824,1911934,2001,"08/17/2015 03:03:40 PM",41.914468597,-87.765415975,"(41.914468597, -87.765415975)"
"2187532",12923523,"JF511419","12/14/2022 10:06:00 AM","062XX W BERENICE AVE","0810","THEFT","OVER $500","STREET","false","false",1633,16,38,17,"06",1134065,1924943,2022,"01/03/2023 03:46:28 PM",41.950251916,-87.782593124,"(41.950251916, -87.782593124)"
"7425176",9278826,"HW423729","08/25/2013 04:45:00 PM","008XX W WELLINGTON AVE","0560","ASSAULT","SIMPLE","HOSPITAL BUILDING/GROUNDS","false","false",1933,19,44,6,"08A",1169981,1920130,2013,"02/10/2018 03:50:01 PM",41.936335635,-87.650710119,"(41.936335635, -87.650710119)"
"7063689",8694838,"HV370849","07/06/2012 03:00:00 PM","006XX N LOREL AVE","0630","BURGLARY","ATTEMPT FORCIBLE ENTRY","APARTMENT","false","false",1524,15,37,25,"05",1140567,1903618,2012,"02/10/2018 03:50:01 PM",41.891616673,-87.75921683,"(41.891616673, -87.75921683)"
"5388777",6002567,"HP107633","01/05/2008 12:39:48 PM","083XX S ASHLAND AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","STREET","false","true",614,6,18,71,"26",1167124,1849446,2008,"02/28/2018 03:56:25 PM",41.742433848,-87.663236494,"(41.742433848, -87.663236494)"
"3593901",3105065,"HJ836343","12/24/2003 03:07:00 PM","014XX W 79TH ST","0430","BATTERY","AGGRAVATED: OTHER DANG WEAPON","PARKING LOT/GARAGE(NON.RESID.)","true","false",612,6,21,71,"04B",1168239,1852365,2003,"02/28/2018 03:56:25 PM",41.750420093,-87.659067314,"(41.750420093, -87.659067314)"
"2557241",1781350,"G602677","10/07/2001 06:00:00 PM","016XX N ROCKWELL ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1434,14,NA,NA,"07",1158820,1910908,2001,"08/17/2015 03:03:40 PM",41.911266337,-87.691981432,"(41.911266337, -87.691981432)"
